(before tonight's games)  Player | FGA | PTS ------------|---|--- Caris LeVert | 120 | 116 Dillon Brooks | 119 | 118 Markelle Fultz | 104 | 103 Kelly Oubre Jr. | 101 | 84 Devonte' Graham | 99 | 80 Bojan Bogdanović | 94 | 94 Cole Anthony | 76 | 69 Gary Harris | 61 | 56 J.J. Redick | 55 | 49 LaMarcus Aldridge | 54 | 50 Tyus Jones | 54 | 50 Al Horford | 53 | 53 Aaron Holiday | 51 | 46 Tyrese Maxey | 49 | 46 Killian Hayes | 47 | 32 Ish Smith | 46 | 42 Aron Baynes | 45 | 37 Michael Carter-Williams | 44 | 36 Juan Hernangómez | 44 | 44 Derrick Jones Jr. | 44 | 42 Sekou Doumbouya | 39 | 38 Markieff Morris | 31 | 31 James Johnson | 29 | 26 Kendrick Nunn | 29 | 26 Jevon Carter | 28 | 22 Grayson Allen | 27 | 25 Brandon Goodwin | 27 | 26 Anfernee Simons | 27 | 26 Dante Exum | 26 | 23 DeMarcus Cousins | 24 | 23 Furkan Korkmaz | 24 | 18 Aleksej Pokusevski | 21 | 5 Mike Scott | 21 | 21 Terance Mann | 20 | 12 Matisse Thybulle | 19 | 18 Frank Kaminsky | 18 | 17 Lamar Stevens | 18 | 18 Kenrich Williams | 18 | 15 Ed Davis | 17 | 13 Jordan McLaughlin | 17 | 16 Chris Chiozza | 16 | 15 Chandler Hutchison | 16 | 13 Dean Wade | 16 | 12 Gary Clark | 15 | 12 Carsen Edwards | 15 | 13 Jerome Robinson | 15 | 15 Marquese Chriss | 14 | 13 Rodney Hood | 14 | 11 Drew Eubanks | 13 | 9 Nicolò Melli | 13 | 11 Amir Coffey | 12 | 12 De'Anthony Melton | 12 | 8 Aaron Nesmith | 12 | 8 Obi Toppin | 12 | 9 Malachi Flynn | 11 | 0 Draymond Green | 11 | 10 Stanley Johnson | 11 | 7 Adam Mokoka | 11 | 8 Georges Niang | 11 | 8 Bruno Caboclo | 10 | 6 Tremont Waters | 10 | 9 Mfiondu Kabengele | 9 | 5 Derrick White | 9 | 9 Josh Hall | 8 | 3 Elijah Hughes | 8 | 8 Kelan Martin | 8 | 2 Reggie Perry | 8 | 7 Robert Woodard | 8 | 6 Tony Bradley | 7 | 4 Kira Lewis Jr. | 7 | 4 Sean McDermott | 7 | 7 Yuta Watanabe | 7 | 6 Keljin Blevins | 6 | 2 Maurice Harkless | 6 | 3 Trey Lyles | 6 | 5 KZ Okpala | 6 | 5 Cody Zeller | 6 | 6 CJ Elleby | 5 | 4 Isaiah Joe | 5 | 2 Saben Lee | 5 | 4 Miye Oni | 5 | 3 Luka Šamanić | 5 | 4 Dennis Smith Jr. | 5 | 4 Jalen Smith | 5 | 4 Tyrell Terry | 5 | 2 Brodric Thomas | 5 | 5 Dylan Windler | 5 | 3 Bol Bol | 4 | 0 Devon Dotson | 4 | 4 Karim Mané | 4 | 2 Garrison Mathews | 4 | 3 Ty-Shon Alexander | 3 | 0 Terrance Ferguson | 3 | 0 Damian Jones | 3 | 2 Rodions Kurucs | 3 | 3 Darius Miller | 3 | 3 Theo Pinson | 3 | 0 Kostas Antetokounmpo | 2 | 0 Mo Bamba | 2 | 0 DeAndre' Bembry | 2 | 2 Vernon Carey Jr. | 2 | 0 R.J. Hampton | 2 | 2 Luke Kornet | 2 | 2 Nico Mannion | 2 | 0 Sindarius Thornwell | 2 | 2 Jaylen Adams | 1 | 0 Vlatko Čančar | 1 | 0 Torrey Craig | 1 | 0 Cristiano Felício | 1 | 0 Willy Hernangómez | 1 | 1 Nate Hinton | 1 | 0 Markus Howard | 1 | 0 Skylar Mays | 1 | 0 Malik Monk | 1 | 1 E'Twaun Moore | 1 | 0 Juwan Morgan | 1 | 0 Zeke Nnaji | 1 | 0 Anžejs Pasečņiks | 1 | 0 Paul Watson | 1 | 0 Keita Bates-Diop | 0 | 0 Deividas Sirvydis | 0 | 0 Edmond Sumner | 0 | 0
"Half of them are on the Bulls, Chandler Hutchison and Thomas Satoransky."
"Otto Porter Jr., Lauri Markkanen and Chandler Hutchison for the Bulls."
chandler hutchison you can do it
we traded daniel gafford and chandler hutchison for mo wagner then immediately flipped wagner+luke kornet for theis
Chandler Hutchison and Shaquille Harrison. Even NBA database has mistaken their measurements...
"Wizards-Bulls-Celtics trade:  Wizards give up Moe Wagner and Troy Brown Jr. to get Daniel Gafford and Chandler Hutchison  Celtics give up Daniel Theis and Javonte Green for Moe Wagner and Luke Kornet  Bulls give up Daniel Gafford, Chandler Hutchison, and Luke Kornet for Troy Brown Jr., Daniel Theis, and Javonte Green"
Chandler Hutchison
"Truth be told, we can talk about Brooks (he's bad), Russ (he's been bad this playoffs), but we are in 2021 and one team is in the playoffs with Rui Hachimura and Chandler Hutchison as the only players between 6'3 and 6'8 in their rotation, not sure what you can expect with that, especially because it's not like those 2 are any good either"
Is Chandler Hutchison out? I remember him playing okay in the play-in games
"When your rotation includes Alex Len and Raul Neto, your best wing defender is chandler hutchison, and you often run three guard lineups versus the biggest team in the league, you’re probably gonna lose every game"
"Yeah iirc it was Gafford and Chandler Hutchison to the Wizards, javonte green and theis and Troy brown to the bulls, moe Wagner and Luke kornet to the Celtics"
No that’s not Rui that’s Chandler Hutchison. Marv only knows like 6 names
Hutchinson does not exist. Chandler Hutchison however...
Words never said before in the history of the NBA: We need more Chandler Hutchison (and fewer 3-guard lineup minutes).
chandler hutchison
Chandler Hutchison
"It's not confirmed but Chandler Hutchison got into a spat with Billy Donovan over his lack of playing time, which led to Hutch being away from the team with Donovan saying he ""needed to work on some things"". Speculation is he asked to be traded if they weren't going to play him, so I'm going with Chandler Hutchison"
Chandler Hutchison
Chandler Hutchison
"""no guys srsly they're adding like 4 more teams! biggest trade ever!""  *chandler hutchison gets traded*"
If your team is relying on Chandler Hutchison to be a difference maker at all that means your team is in a really bad spot. He's super replaceable.
"My probably incorrect guess:  It's added on as part of the Russell Westbrook trade as a three team deal. The Nets want to be compensated a player, but they can't take on a player without paying a ton in luxury tax payments, so they want to dump Jordan. Meanwhile, the Wizards have a logjam at forward/center now, so they probably want to consolidate some of those players or trade them for better positional fits, so they're rerouting some of the players from the Lakers trade to yet another team. The Wizards have also been rumored to be interested in dumping Chandler Hutchison with a second or two since they'll be near or potentially above the luxury tax depending on what happens with the other trades, so that brings in one more team.  If it's not that then I'm also quite curious  Edit: totally forgot about the Pacers Wizards draft night trade, so there’s another team. Apparently the lakers are still trying to S&amp;T Schroder, so that could be another?"
"It's worth noting that he is currently an assistant at Boise State, where he was credited with the development of players like Chandler Hutchison. He also coached in the G-League for a bit and works with college and NBA players in the off-season.   Obviously, the connection to Dame plays a role, but he's not some random scrub coach at Weber State."
Chandler Hutchison truly is just another man's trash
